,jp,en
1921,調子,"調子
ちょうし

tune
tone
key
pitch
time
rhythm
vein
mood
way
manner
style
knack
condition
state of health
impetus
spur of the moment
strain
trend
"
1922,それぞれ,"それぞれ
それぞれ

each
respectively
"
1923,暗殺,"暗殺
あんさつ

assassination
"
1924,眠い,"眠い
ねむい

sleepy
drowsy
somnolent
"
1925,合流,"合流
ごうりゅう

confluence (of rivers)
merge (of traffic)
conflux
junction
joining
union (e.g. of forces)
linking up
merging
coming together
"
1926,作戦,"作戦
さくせん

tactics
strategy
military or naval operations
"
1927,てか,"てか
てか

or rather (say)
or better (say)
or perhaps I should say
or, how should I put it,...
I mean
"
1928,何十,"何十
なんじゅう

several tens
"
1929,何だか,"何だか
なんだか (

a) little
somewhat
somehow
"
1930,なんだか,"なんだか
なんだか (

a) little
somewhat
somehow
"
1931,には,"には
には

for (in regard to)
in order to
"
1932,各自,"各自
かくじ

individual
each
"
1933,相変わらず,"相変わらず
あいかわらず

as ever
as usual
the same
still
"
1934,本日,"本日
ほんじつ

today
"
1935,大切にする,"大切にする
たいせつにする

to cherish
to treasure
to prize
to set a high value on
to take good care of
to look after
"
1936,落ち着く,"落ち着く
おちつく

to calm down
to compose oneself
to regain presence of mind
to calm down
to settle down
to die down
to become stable
to abate
to settle down (in a location, job, etc.)
to settle in
to be settled
to be fixed
to have been reached
to harmonize with
to harmonise with
to match
to suit
to fit
to be unobtrusive
to be quiet
to be subdued
"
1937,いざ,"いざ
いざ

now
come (now)
well
"
1938,ちなみに,"ちなみに
ちなみに

by the way
in this connection
incidentally
in passing
"
1939,勝手,"勝手
かって

one's own convenience
one's way
convenience or ease of use
knowledge of how to use
circumstances
situation (e.g. financial)
environment
kitchen
arbitrary
unauthorised (e.g. phone app, WWW site)
unofficial
"
1940,何か用,"何か用
なんかよう
なにかよう

What do you want? (oft. brusque, curt)
Can I help you?
"
1941,とにかく,"とにかく
とにかく

anyhow
at any rate
anyway
somehow or other
generally speaking
in any case
at least
"
1942,だって,"だって
だって

after all
because
but
even
too
as well
also
they say
I hear
you mean
"
1943,いる,"いる
いる

to need
to want
"
1944,それより,"それより
それより

apart from that
other than that
leaving that aside
more ... than that
but
however
"
1945,謎,"謎
なぞ

riddle
puzzle
enigma
mystery
enigmatic
mysterious
"
1946,為,"為
ため

good
advantage
benefit
welfare
sake
purpose
objective
aim
consequence
result
effect
affecting
regarding
concerning
"
1947,解く,"解く
とく

to untie
to unfasten
to unwrap
to undo
to unbind
to unpack
to unsew
to unstitch
to solve
to work out
to answer
to dispel (misunderstanding, etc.)
to clear up
to remove (suspicion)
to appease
to dissolve (a contract)
to cancel
to remove (a prohibition)
to lift (a ban)
to raise (a siege)
to release (from duty)
to relieve
to dismiss
to comb (out)
to card
to untangle (hair)
"
1948,暇,"暇
ひま
いとま

spare time
free time
leisure
time (e.g. time it takes to do something)
time off
day off
vacation
holiday
leave
quitting (one's job)
firing someone
divorcing (one's spouse)
(of one's time) free
(of one's business) slow
leaving
departing
"
1949,させる,"させる
させる

to make (someone) do
to allow (someone) to
"
1950,そもそも,"そもそも
そもそも

in the first place
to begin with
from the start
originally
ab initio
... the heck (e.g. ""what the heck?"")
... in the world (e.g. ""why in the world?"")
... on earth (e.g. ""who on earth?"")
beginning
start
"
1951,検索,"検索
けんさく

looking up (e.g. a word in a dictionary)
retrieval (e.g. data)
searching for
referring to
"
1952,となる,"となる
となる

to become
to amount to
"
1953,台詞,"台詞
せりふ
だいし

speech
words
one's lines
remarks
"
1954,でもない,"でもない
でもない

it is not (like that)
used to explicitly deny one thing while also implicitly denying other things
"
1955,これでも,"これでも
これでも

even though things may appear this way
"
1956,宝石,"宝石
ほうせき

gem
jewel
precious stone
"
1957,旅,"旅
たび

travel
trip
journey
"
1958,反逆,"反逆
はんぎゃく

treason
treachery
mutiny
rebellion
insurrection
"
1959,英雄,"英雄
えいゆう

hero
heroine
great person
Eroica Symphony (Beethoven, 1804)
Heroic Polonaise (Chopin)
"
1960,冒険,"冒険
ぼうけん

risk
venture
adventure
"
1961,奇妙,"奇妙
きみょう

strange
queer
curious
"
1962,女神,"女神
めがみ
じょしん
おんながみ

goddess
female deity
"
1963,災難,"災難
さいなん

calamity
misfortune
disaster
"
1964,進撃,"進撃
しんげき

advance
charge
"
1965,巨人,"巨人
きょじん

giant
great man
Tokyo Giants (baseball team)
"
1966,化け物,"化け物
ばけもの
ばけもん

goblin
apparition
monster
ghost
phantom
spectre
specter
"
1967,狼,"狼
おおかみ
おおかめ
おいぬ

wolf (Canis lupus)
wolf in sheep's clothing
womanizer
"
1968,戦艦,"戦艦
せんかん

battleship
"
1969,席,"席
せき

seat
location (of a gathering, etc.)
place
position
post
"
1970,注文,"注文
ちゅうもん

order
request
"
1971,偽,"偽
にせ

imitation
fake
phony
counterfeit
forged
bogus
sham
pseudo-
"
1972,絶望,"絶望
ぜつぼう

despair
hopelessness
"
1973,残響,"残響
ざんきょう

reverberation
echo
"
1974,クズ,"クズ
クズ

waste
scrap
garbage
dregs
chad
"
1975,征服,"征服
せいふく

conquest
subjugation
overcoming
"
1976,紫,"紫
むらさき

purple
violet
Lithospermum erythrorhizon (species of gromwell)
type of soy sauce
"
1977,悪魔,"悪魔
あくま

devil
demon
fiend
Satan
the Devil
Māra
evil spirits or forces that hinder one's path to enlightenment
"
1978,突破,"突破
とっぱ

breaking through
breakthrough
penetration
"
1979,桃,"桃
もも

peach (Prunus persica)
"
1980,西瓜,"西瓜
すいか

watermelon (Citrullus lanatus)
"
1981,銀河,"銀河
ぎんが

Milky Way
galaxy
"
1982,翼,"翼
つばさ
よく

wing
Chinese ""Wings"" constellation (one of the 28 mansions)
counter for birds or bird wings
"
1983,捧げる,"捧げる
ささげる

to lift up
to give
to offer
to consecrate
to devote
to sacrifice
to dedicate
"
1984,定め,"定め
さだめ

law
rule
regulation
provision
decision
appointment
arrangement
agreement
destiny
fate
karma
"
1985,裏切る,"裏切る
うらぎる

to betray
to turn traitor to
to double-cross
"
1986,怪物,"怪物
かいぶつ

monster
"
1987,天使,"天使
てんし

angel
"
1988,純潔,"純潔
じゅんけつ

purity
chastity
"
1989,蛇,"蛇
へび
じゃ
くちなわ
へみ

snake
serpent
large snake
"
1990,熊,"熊
くま

bear (any mammal of family Ursidae)
"
1991,竜,"竜
りゅう
たつ
りょう

dragon (esp. a Chinese dragon)
naga
semi-divine human-cobra chimera in Hindu and Buddhist mythology
promoted rook
"
1992,と言うことは,"と言うことは
ということは

that is to say
so that means
"
1993,扉,"扉
とびら

door
gate
opening
title page
"
1994,戸,"戸
と

door (esp. Japanese-style)
shutter
window shutter
entrance (to a home)
narrows
"
1995,銃,"銃
じゅう

gun
rifle
small arms
"
1996,カッとなる,"カッとなる
カッとなる

to flare up
to fly into a rage
"
1997,もう少しで,"もう少しで
もうすこしで

almost
nearly
close to
"
1998,と言うところ,"と言うところ


no more than, at the most と言うところ というところ  とゆうところ a state called
a position described as
can sum up as
approximates to
places known as
that called
the place named
"
1999,辺り,"辺り
あたり
ほとり

on the bank of
by the side of (e.g. a river, pond)
(in the) neighbourhood
neighborhood
vicinity
nearby
around (Sunday, last year, etc...)
for instance
"
2000,気が合う,"気が合う
きがあう

to get along (with someone)
"
2001,突く,"突く
つつく

to poke (repeatedly, lightly)
to nudge
to peck at (one's food)
to pick at
to peck at (someone's faults, etc.)
to egg on
to put up to
"
2002,他,"他
ほか

other (place, thing, person)
the rest
outside
beyond
nothing except
nothing but
nothing apart from
nothing aside from
no choice (but to)
besides...
in addition to...
"
2003,くらいなら,"くらいなら
くらいなら

rather than (do ...)
"
2004,忍,"忍
しのぶ

squirrel's foot fern (Davallia mariesii)
Lepisorus thunbergianus (species of fern)
color of clothing layers under one's overcoat (light green on blue)
ancient women's hairstyle
clothing patterned using squirrel's foot fern
"
2005,要る,"要る
いる

to need
to want
"
2006,弾丸,"弾丸
だんがん

bullet
shot
shell
"
2007,卵,"卵
たまご

eggs
egg
spawn
roe
hen egg
(an expert) in the making
beginning
origin
infancy
"
2008,何なのか,"何なのか
なんなのか
なになのか

what is it (that)
the meaning of something
what something is about
"
2009,想像,"想像
そうぞう

imagination
guess
"
2010,フリ,"フリ
フリ

lead in (e.g. to a running joke, asking a question)
lead up
pretence (pretense)
show
pretending (to)
"
2011,いきなり,"いきなり
いきなり

abruptly
suddenly
all of a sudden
without warning
"
2012,遭遇,"遭遇
そうぐう

encounter
being confronted with (e.g. difficulty)
meeting with (e.g. accident)
"
2013,満ちる,"満ちる
みちる

to be full
to wax (e.g. moon)
to rise (e.g. tide)
to mature
to expire
"
2014,事象,"事象
じしょう

event
phenomenon
matter
"
2015,平気,"平気
へいき

coolness
calmness
composure
unconcern
all right
OK
okay
"
2016,およそ,"およそ
およそ

about
roughly
approximately
generally
on the whole
as a rule
completely
quite
entirely
altogether
totally
not at all (with neg. verb)
outline
gist
"
2017,における,"における
における

in
at
on
as for
regarding
with regards to
"
2018,あらゆる,"あらゆる
あらゆる

all
every
"
2019,あげく,"あげく
あげく

in the end (after a long process)
finally
after all
at last
last line (of a renga)
"
2020,くせに,"くせに
くせに

and yet
though
when
in spite of
"
2021,せめて,"せめて
せめて

at least
at most
"
2022,だけに,"だけに
だけに ..

being the case
(precisely) because ...
as might be expected (from ..)
"
2023,ならない,"ならない
ならない

cannot help (doing, etc.)
cannot resist
cannot bear not to
must not ...
should not ...
must ...
have to ...
ought to ....
"
2024,につき,"につき
につき

because of
on account of
regarding
per
apiece
"
2025,灰色,"灰色
はいいろ

grey
gray
ashen
"
2026,親切,"親切
しんせつ

kindness
gentleness
"
2027,途端,"途端
とたん

just (now, at the moment, etc.)
just as
in the act of
as soon as
at the moment that
"
2028,っつって,"っつって
っつって

colloquial spoken form of と言っている
"
2029,眠る,"眠る
ねむる
ねぶる

to sleep (not necessarily lying down)
to die
to lie idle (e.g. of resources)
to be dormant
to be unused
to close one's eyes
"
2030,調子に乗る,"調子に乗る
ちょうしにのる

to be elated
to be excited
to be caught up in the moment
to be carried away
to get cocky
to get up to speed
to move into gear
"
2031,ようこそ,"ようこそ
ようこそ

welcome!
nice to see you!
"
2032,至る,"至る
いたる

to arrive at (e.g. a decision)
to reach (a stage)
to attain
to lead to (a place)
to get to
to come
to arrive
to result in
"
2033,腰,"腰
こし

back
lower back
waist
hips
lumbar region
body (of hair, noodle, paper, etc.)
resilience
spring
"
2034,腕,"腕
うで

arm
skill
efforts
ability
"
2035,床,"床
ゆか

floor
stage (for the narrator and the shamisen player)
dining platform built across a river
"
2036,序でに,"序でに
ついでに

incidentally
taking the opportunity
while (you) are at it
on the occasion
"
2037,できる限り,"できる限り
できるかぎり

as ... as one can
as ... as possible
as much as possible
"
